from,to,distance
L393,L128,71.156
L402,L128,66.164
L408,L128,66.222
L411,L128,66.252
L412,L128,66.41
L418,L128,69.916
L423,L128,70.98
L430,L128,113.775
L431,L128,103.33
L437,L128,86.076
L444,L128,112.348
L445,L128,113.733
L469,L128,102.531
L483,L128,87.156
L493,L128,118.91
L495,L128,96.917
L496,L128,87.267
L511,L128,87.147
L527,L128,70.869
L529,L128,66.47
L530,L128,66.41
L540,L128,90.715
L543,L128,95.935
L554,L128,66.41
L556,L128,111.757
L560,L128,98.767
L0,L134,22.264
L7,L134,4.733
L18,L134,42.638
L26,L134,41.898
L33,L134,34.068
L36,L134,32.657
L38,L134,28.75
L57,L134,23.868
L62,L134,27.291
L63,L134,24.174
L70,L134,1.411
L75,L134,22.588
L76,L134,22.588
L77,L134,23.017
L78,L134,26.826
L79,L134,24
L80,L134,22.588
L81,L134,23.181
L82,L134,22.923
L91,L134,22.4
L93,L134,22.556
L99,L134,22.193
L102,L134,21.931
L103,L134,49.588
L106,L134,21.811
L113,L134,3.073
L116,L134,2.437
L122,L134,3.27
L128,L134,54.055
L134,L134,0
L135,L134,0
L138,L134,31.084
L139,L134,31.084
L141,L134,22.588
L145,L134,5.233
L146,L134,5.499
L147,L134,4.321
L150,L134,21.783
L151,L134,3.783
L153,L134,20.904
L154,L134,20.904
L155,L134,20.831
L156,L134,17.646
L157,L134,17.646
L159,L134,23.583
L162,L134,15.795
L168,L134,15.423
L171,L134,26.334
L173,L134,28.766
L178,L134,31.185
L179,L134,31.185
L185,L134,27.515
L186,L134,22.174
L191,L134,28.517
L203,L134,30.05
L206,L134,23.482
L213,L134,37.9
L222,L134,17.336
L227,L134,33.109
L229,L134,28.256
L231,L134,28.381
L246,L134,42.763
L247,L134,42.87
L249,L134,29.318
L252,L134,29.116
L262,L134,30.851
L271,L134,44.059
L273,L134,44.816
L274,L134,43.828
L292,L134,32.943
L299,L134,33.575
L309,L134,3.545
L310,L134,4.161
L313,L134,33.179
L315,L134,22.834
L321,L134,22.727
L323,L134,2.11
L328,L134,1.635
L333,L134,3.388
L334,L134,3.305
L336,L134,21.801
L338,L134,22.187
L349,L134,21.961
L355,L134,25.689
L361,L134,11.222
L365,L134,12.42
L370,L134,29.025
L371,L134,29.025
L375,L134,29.402
L382,L134,22.588
L385,L134,28.517
L387,L134,44.134
L392,L134,18.382
L393,L134,22.016
L402,L134,17.024
L408,L134,17.082
L411,L134,17.112
L412,L134,17.27
L418,L134,20.776
L423,L134,21.84
L430,L134,63.824
L431,L134,49.788
L437,L134,32.218
L444,L134,62.701
L445,L134,62.708
L469,L134,48.989
L483,L134,61.193
L493,L134,65.368
L495,L134,43.375
L496,L134,33.725
L511,L134,47.151
L527,L134,21.729
L529,L134,17.33
L530,L134,17.27
L540,L134,44.996
L543,L134,42.393
L554,L134,17.27
L556,L134,58.215
L560,L134,72.804
L0,L135,22.264
L7,L135,4.733
L18,L135,42.638
L26,L135,41.898
L33,L135,34.068
L36,L135,32.657
L38,L135,28.75
L57,L135,23.868
L62,L135,27.291
L63,L135,24.174
L70,L135,1.411
L75,L135,22.588
L76,L135,22.588
L77,L135,23.017
L78,L135,26.826
L79,L135,24
L80,L135,22.588
L81,L135,23.181
L82,L135,22.923
L91,L135,22.4
L93,L135,22.556
L99,L135,22.193
L102,L135,21.931
L103,L135,49.588
L106,L135,21.811
L113,L135,3.073
L116,L135,2.437
L122,L135,3.27
L128,L135,54.055
L134,L135,0
L135,L135,0
L138,L135,31.084
L139,L135,31.084
L141,L135,22.588
L145,L135,5.233
L146,L135,5.499
L147,L135,4.321
L150,L135,21.783
L151,L135,3.783
L153,L135,20.904
L154,L135,20.904
L155,L135,20.831
L156,L135,17.646
L157,L135,17.646
L159,L135,23.583
L162,L135,15.795
L168,L135,15.423
L171,L135,26.334
L173,L135,28.766
L178,L135,31.185
L179,L135,31.185
L185,L135,27.515
L186,L135,22.174
L191,L135,28.517
L203,L135,30.05
L206,L135,23.482
L213,L135,37.9
L222,L135,17.336
L227,L135,33.109
L229,L135,28.256
L231,L135,28.381
L246,L135,42.763
L247,L135,42.87
L249,L135,29.318
L252,L135,29.116
L262,L135,30.851
L271,L135,44.059
L273,L135,44.816
L274,L135,43.828
L292,L135,32.943
L299,L135,33.575
L309,L135,3.545
L310,L135,4.161
L313,L135,33.179
L315,L135,22.834
L321,L135,22.727
L323,L135,2.11
L328,L135,1.635
L333,L135,3.388
L334,L135,3.305
L336,L135,21.801
L338,L135,22.187
L349,L135,21.961
L355,L135,25.689
L361,L135,11.222
L365,L135,12.42
L370,L135,29.025
L371,L135,29.025
L375,L135,29.402
L382,L135,22.588
L385,L135,28.517
L387,L135,44.134
L392,L135,18.382
L393,L135,22.016
L402,L135,17.024
L408,L135,17.082
L411,L135,17.112
L412,L135,17.27
L418,L135,20.776
L423,L135,21.84
L430,L135,63.824
L431,L135,49.788
L437,L135,32.218
L444,L135,62.701
L445,L135,62.708
L469,L135,48.989
L483,L135,61.193
L493,L135,65.368
L495,L135,43.375
L496,L135,33.725
L511,L135,47.151
L527,L135,21.729
L529,L135,17.33
L530,L135,17.27
L540,L135,44.996
L543,L135,42.393
L554,L135,17.27
L556,L135,58.215
L560,L135,72.804
L0,L138,48.411
L7,L138,37.031
L18,L138,71.588
L26,L138,11.87
L33,L138,49.211
L36,L138,47.8
L38,L138,2.384
L57,L138,41.082
L62,L138,60.667
L63,L138,41.388
L70,L138,29.522
L75,L138,48.735
L76,L138,48.735
L77,L138,49.164
L78,L138,52.973
L79,L138,50.147
L80,L138,48.735
L81,L138,49.328
L82,L138,49.07
L91,L138,48.547
L93,L138,48.703
L99,L138,48.34
L102,L138,48.078
L103,L138,19.506
L106,L138,47.958
L113,L138,30.073
L116,L138,28.497
L122,L138,27.327
L128,L138,23.973
L134,L138,30.901
L135,L138,30.901
L138,L138,0
L139,L138,0
L141,L138,48.735
L145,L138,35.087
L146,L138,34.054
L147,L138,27.864
L150,L138,47.93
L151,L138,32.053
L153,L138,47.904
L154,L138,47.904
L155,L138,52.028
L156,L138,50.858
L157,L138,50.858
L159,L138,54.78
L162,L138,42.795
L168,L138,41.57
L171,L138,43.548
L173,L138,54.913
L178,L138,6.641
L179,L138,6.641
L185,L138,53.662
L186,L138,48.321
L191,L138,43.66
L203,L138,45.193
L206,L138,59.168
L213,L138,64.922
L222,L138,48.832
L227,L138,59.248
L229,L138,43.399
L231,L138,43.524
L246,L138,55.314
L247,L138,55.508
L249,L138,44.461
L252,L138,44.259
L262,L138,64.227
L271,L138,13.977
L273,L138,14.734
L274,L138,13.746
L292,L138,48.086
L299,L138,3.493
L309,L138,31.517
L310,L138,32.491
L313,L138,48.322
L315,L138,48.981
L321,L138,48.874
L323,L138,29.11
L328,L138,29.489
L333,L138,30.388
L334,L138,30.305
L336,L138,47.948
L338,L138,48.334
L349,L138,48.108
L355,L138,51.836
L361,L138,37.369
L365,L138,38.567
L370,L138,44.168
L371,L138,44.168
L375,L138,44.545
L382,L138,48.735
L385,L138,43.66
L387,L138,14.052
L392,L138,44.529
L393,L138,48.163
L402,L138,43.171
L408,L138,43.229
L411,L138,43.259
L412,L138,43.417
L418,L138,46.923
L423,L138,47.987
L430,L138,90.782
L431,L138,80.337
L437,L138,63.083
L444,L138,89.355
L445,L138,90.74
L469,L138,79.538
L483,L138,64.163
L493,L138,95.917
L495,L138,73.924
L496,L138,64.274
L511,L138,64.154
L527,L138,47.876
L529,L138,43.477
L530,L138,43.417
L540,L138,67.722
L543,L138,72.942
L554,L138,43.417
L556,L138,88.764
L560,L138,75.774
L0,L139,48.411
L7,L139,37.031
L18,L139,71.588
L26,L139,11.87
L33,L139,49.211
L36,L139,47.8
L38,L139,2.384
L57,L139,41.082
L62,L139,60.667
L63,L139,41.388
L70,L139,29.522
L75,L139,48.735
L76,L139,48.735
L77,L139,49.164
L78,L139,52.973
L79,L139,50.147
L80,L139,48.735
L81,L139,49.328
L82,L139,49.07
L91,L139,48.547
L93,L139,48.703
L99,L139,48.34
L102,L139,48.078
L103,L139,19.506
L106,L139,47.958
L113,L139,30.073
L116,L139,28.497
L122,L139,27.327
L128,L139,23.973
L134,L139,30.901
L135,L139,30.901
L138,L139,0
L139,L139,0
L141,L139,48.735
L145,L139,35.087
L146,L139,34.054
L147,L139,27.864
L150,L139,47.93
L151,L139,32.053
L153,L139,47.904
L154,L139,47.904
L155,L139,52.028
L156,L139,50.858
L157,L139,50.858
L159,L139,54.78
L162,L139,42.795
L168,L139,41.57
L171,L139,43.548
L173,L139,54.913
L178,L139,6.641
L179,L139,6.641
L185,L139,53.662
L186,L139,48.321
L191,L139,43.66
L203,L139,45.193
L206,L139,59.168
L213,L139,64.922
L222,L139,48.832
L227,L139,59.248
L229,L139,43.399
L231,L139,43.524
L246,L139,55.314
L247,L139,55.508
L249,L139,44.461
L252,L139,44.259
L262,L139,64.227
L271,L139,13.977
L273,L139,14.734
L274,L139,13.746
L292,L139,48.086
L299,L139,3.493
L309,L139,31.517
L310,L139,32.491
L313,L139,48.322
L315,L139,48.981
L321,L139,48.874
L323,L139,29.11
L328,L139,29.489
L333,L139,30.388
L334,L139,30.305
L336,L139,47.948
L338,L139,48.334
L349,L139,48.108
L355,L139,51.836
L361,L139,37.369
L365,L139,38.567
L370,L139,44.168
L371,L139,44.168
L375,L139,44.545
L382,L139,48.735
L385,L139,43.66
L387,L139,14.052
L392,L139,44.529
L393,L139,48.163
L402,L139,43.171
L408,L139,43.229
L411,L139,43.259
L412,L139,43.417
L418,L139,46.923
L423,L139,47.987
L430,L139,90.782
L431,L139,80.337
L437,L139,63.083
L444,L139,89.355
L445,L139,90.74
L469,L139,79.538
L483,L139,64.163
L493,L139,95.917
L495,L139,73.924
L496,L139,64.274
L511,L139,64.154
L527,L139,47.876
L529,L139,43.477
L530,L139,43.417
L540,L139,67.722
L543,L139,72.942
L554,L139,43.417
L556,L139,88.764
L560,L139,75.774
L0,L141,0.792
L7,L141,19.643
L18,L141,23.336
L26,L141,59.12
L33,L141,38.412
L36,L141,38.086
L38,L141,45.972
L57,L141,43.161
L62,L141,21.945
L63,L141,43.467
L70,L141,20.243
L75,L141,0
L76,L141,0
L77,L141,1.134
L78,L141,1.788
L79,L141,2.117
L80,L141,0
L81,L141,1.298
L82,L141,1.04
L91,L141,0.889
L93,L141,0.771
L99,L141,1.171
L102,L141,0.729
L103,L141,66.81
L106,L141,0.975
L113,L141,18.882
L116,L141,20.573
L122,L141,21.845
L128,L141,71.277
L134,L141,21.622
L135,L141,21.622
L138,L141,48.306
L139,L141,48.306
L141,L141,0
L145,L141,17.699
L146,L141,16.666
L147,L141,23.111
L150,L141,1.172
L151,L141,22.774
L153,L141,25.451
L154,L141,25.451
L155,L141,25.539
L156,L141,28.701
L157,L141,28.701
L159,L141,44.162
L162,L141,32.332
L168,L141,6.636
L171,L141,45.627
L173,L141,9.9
L178,L141,48.407
L179,L141,48.407
L185,L141,14.94
L186,L141,18.495
L191,L141,45.739
L203,L141,47.272
L206,L141,20.446
L213,L141,16.089
L222,L141,19.937
L227,L141,11.899
L229,L141,45.478
L231,L141,45.603
L246,L141,30.188
L247,L141,30.295
L249,L141,46.54
L252,L141,46.338
L262,L141,25.505
L271,L141,61.281
L273,L141,62.038
L274,L141,61.05
L292,L141,37.895
L299,L141,50.797
L309,L141,20.421
L310,L141,19.878
L313,L141,37.523
L315,L141,0.55
L321,L141,1.278
L323,L141,20.053
L328,L141,20.21
L333,L141,18.921
L334,L141,18.65
L336,L141,0.685
L338,L141,1.041
L349,L141,1.616
L355,L141,3.164
L361,L141,10.738
L365,L141,12.176
L370,L141,46.247
L371,L141,46.247
L375,L141,46.624
L382,L141,0
L385,L141,45.739
L387,L141,61.356
L392,L141,4.022
L393,L141,3.218
L402,L141,4.949
L408,L141,6.373
L411,L141,6.154
L412,L141,5.995
L418,L141,4.45
L423,L141,5.514
L430,L141,85.069
L431,L141,62.597
L437,L141,29.104
L444,L141,55.376
L445,L141,56.761
L469,L141,61.798
L483,L141,84.036
L493,L141,64.474
L495,L141,56.184
L496,L141,47.8
L511,L141,59.96
L527,L141,2.931
L529,L141,6.275
L530,L141,5.995
L540,L141,57.805
L543,L141,55.202
L554,L141,5.995
L556,L141,71.024
L560,L141,95.647
L0,L145,17.388
L7,L145,5.968
L18,L145,40.565
L26,L145,45.512
L33,L145,27.839
L36,L145,36.271
L38,L145,32.364
L57,L145,29.553
L62,L145,25.792
L63,L145,29.859
L70,L145,3.557
L75,L145,17.712
L76,L145,17.712
L77,L145,18.141
L78,L145,21.95
L79,L145,19.124
L80,L145,17.712
L81,L145,18.305
L82,L145,18.047
L91,L145,17.524
L93,L145,17.68
L99,L145,17.317
L102,L145,17.055
L103,L145,53.202
L106,L145,16.935
L113,L145,2.196
L116,L145,3.887
L122,L145,5.159
L128,L145,57.669
L134,L145,4.936
L135,L145,4.936
L138,L145,34.698
L139,L145,34.698
L141,L145,17.712
L145,L145,0
L146,L145,0.623
L147,L145,5.771
L150,L145,16.907
L151,L145,6.088
L153,L145,20.755
L154,L145,20.755
L155,L145,20.682
L156,L145,17.497
L157,L145,17.497
L159,L145,23.434
L162,L145,15.646
L168,L145,10.547
L171,L145,32.019
L173,L145,23.89
L178,L145,34.799
L179,L145,34.799
L185,L145,22.639
L186,L145,17.298
L191,L145,32.131
L203,L145,33.664
L206,L145,23.333
L213,L145,33.899
L222,L145,17.809
L227,L145,28.225
L229,L145,31.87
L231,L145,25.692
L246,L145,37.887
L247,L145,37.994
L249,L145,26.953
L252,L145,26.761
L262,L145,29.352
L271,L145,47.673
L273,L145,48.43
L274,L145,47.442
L292,L145,36.557
L299,L145,37.189
L309,L145,5.25
L310,L145,6.203
L313,L145,36.793
L315,L145,17.958
L321,L145,17.851
L323,L145,3.367
L328,L145,3.524
L333,L145,2.235
L334,L145,1.964
L336,L145,16.925
L338,L145,17.311
L349,L145,17.085
L355,L145,20.813
L361,L145,6.346
L365,L145,7.544
L370,L145,26.67
L371,L145,26.67
L375,L145,27.047
L382,L145,17.712
L385,L145,32.131
L387,L145,47.748
L392,L145,13.506
L393,L145,17.14
L402,L145,12.148
L408,L145,12.206
L411,L145,12.236
L412,L145,12.394
L418,L145,15.9
L423,L145,16.964
L430,L145,68.408
L431,L145,54.372
L437,L145,26.731
L444,L145,58.292
L445,L145,59.677
L469,L145,53.573
L483,L145,70.428
L493,L145,67.39
L495,L145,47.959
L496,L145,38.309
L511,L145,51.735
L527,L145,16.853
L529,L145,12.454
L530,L145,12.394
L540,L145,49.58
L543,L145,46.977
L554,L145,12.394
L556,L145,62.799
L560,L145,82.039
L0,L146,16.975
L7,L146,5.555
L18,L146,40.152
L26,L146,45.099
L33,L146,28.069
L36,L146,35.858
L38,L146,31.951
L57,L146,29.14
L62,L146,25.379
L63,L146,29.446
L70,L146,3.787
L75,L146,17.299
L76,L146,17.299
L77,L146,17.728
L78,L146,21.537
L79,L146,18.711
L80,L146,17.299
L81,L146,17.892
L82,L146,17.634
L91,L146,17.111
L93,L146,17.267
L99,L146,16.904
L102,L146,16.642
L103,L146,52.789
L106,L146,16.522
L113,L146,2.426
L116,L146,4.117
L122,L146,5.389
L128,L146,57.256
L134,L146,5.166
L135,L146,5.166
L138,L146,34.285
L139,L146,34.285
L141,L146,17.299
L145,L146,0.768
L146,L146,0
L147,L146,6.001
L150,L146,16.494
L151,L146,6.318
L153,L146,22.91
L154,L146,22.91
L155,L146,20.912
L156,L146,17.727
L157,L146,17.727
L159,L146,23.664
L162,L146,15.876
L168,L146,10.134
L171,L146,31.606
L173,L146,23.477
L178,L146,34.386
L179,L146,34.386
L185,L146,22.226
L186,L146,16.885
L191,L146,31.718
L203,L146,33.251
L206,L146,23.88
L213,L146,33.486
L222,L146,17.396
L227,L146,27.812
L229,L146,31.457
L231,L146,25.922
L246,L146,37.474
L247,L146,37.581
L249,L146,27.183
L252,L146,32.317
L262,L146,28.939
L271,L146,47.26
L273,L146,48.017
L274,L146,47.029
L292,L146,36.144
L299,L146,36.776
L309,L146,5.48
L310,L146,5.79
L313,L146,36.38
L315,L146,17.545
L321,L146,17.438
L323,L146,3.597
L328,L146,3.754
L333,L146,2.465
L334,L146,2.194
L336,L146,16.512
L338,L146,16.898
L349,L146,16.672
L355,L146,20.4
L361,L146,5.933
L365,L146,7.131
L370,L146,32.226
L371,L146,32.226
L375,L146,32.603
L382,L146,17.299
L385,L146,31.718
L387,L146,47.335
L392,L146,13.093
L393,L146,16.727
L402,L146,11.735
L408,L146,11.793
L411,L146,11.823
L412,L146,11.981
L418,L146,15.487
L423,L146,16.551
L430,L146,68.638
L431,L146,54.602
L437,L146,26.318
L444,L146,57.879
L445,L146,59.264
L469,L146,53.803
L483,L146,70.015
L493,L146,66.977
L495,L146,48.189
L496,L146,38.539
L511,L146,51.965
L527,L146,16.44
L529,L146,12.041
L530,L146,11.981
L540,L146,49.81
L543,L146,47.207
L554,L146,11.981
L556,L146,63.029
L560,L146,81.626
L0,L147,22.814
L7,L147,6.072
L18,L147,45.991
L26,L147,38.383
L33,L147,28.355
L36,L147,26.265
L38,L147,25.235
L57,L147,19.547
L62,L147,27.658
L63,L147,19.853
L70,L147,2.889
L75,L147,23.138
L76,L147,23.138
L77,L147,23.567
L78,L147,27.376
L79,L147,24.55
L80,L147,23.138
L81,L147,23.731
L82,L147,23.473
L91,L147,22.95
L93,L147,23.106
L99,L147,22.743
L102,L147,22.481
L103,L147,46.073
L106,L147,22.361
L113,L147,3.44
L116,L147,1.864
L122,L147,4.491
L128,L147,50.54
L134,L147,4.268
L135,L147,4.268
L138,L147,27.569
L139,L147,27.569
L141,L147,23.138
L145,L147,5.6
L146,L147,5.866
L147,L147,0
L150,L147,22.333
L151,L147,5.42
L153,L147,21.271
L154,L147,21.271
L155,L147,21.198
L156,L147,18.013
L157,L147,18.013
L159,L147,23.95
L162,L147,16.162
L168,L147,15.973
L171,L147,22.013
L173,L147,29.316
L178,L147,27.67
L179,L147,27.67
L185,L147,28.065
L186,L147,22.724
L191,L147,22.125
L203,L147,23.658
L206,L147,23.849
L213,L147,39.325
L222,L147,17.703
L227,L147,33.651
L229,L147,21.864
L231,L147,21.989
L246,L147,33.779
L247,L147,33.973
L249,L147,22.926
L252,L147,22.724
L262,L147,31.218
L271,L147,40.544
L273,L147,41.301
L274,L147,40.313
L292,L147,26.551
L299,L147,30.06
L309,L147,4.884
L310,L147,5.5
L313,L147,26.787
L315,L147,23.384
L321,L147,23.277
L323,L147,2.477
L328,L147,2.856
L333,L147,3.755
L334,L147,3.672
L336,L147,22.351
L338,L147,22.737
L349,L147,22.511
L355,L147,26.239
L361,L147,11.772
L365,L147,12.97
L370,L147,22.633
L371,L147,22.633
L375,L147,23.01
L382,L147,23.138
L385,L147,22.125
L387,L147,40.619
L392,L147,18.932
L393,L147,22.566
L402,L147,17.574
L408,L147,17.632
L411,L147,17.662
L412,L147,17.82
L418,L147,21.326
L423,L147,22.39
L430,L147,67.74
L431,L147,53.704
L437,L147,37.486
L444,L147,63.758
L445,L147,66.624
L469,L147,52.905
L483,L147,63.299
L493,L147,69.284
L495,L147,47.291
L496,L147,37.641
L511,L147,51.067
L527,L147,22.279
L529,L147,17.88
L530,L147,17.82
L540,L147,48.912
L543,L147,46.309
L554,L147,17.82
L556,L147,62.131
L560,L147,74.91
L0,L150,0.464
L7,L150,18.919
L18,L150,23.534
L26,L150,58.396
L33,L150,37.688
L36,L150,37.362
L38,L150,45.248
L57,L150,42.437
L62,L150,21.221
L63,L150,42.743
L70,L150,19.519
L75,L150,0.968
L76,L150,0.968
L77,L150,1.11
L78,L150,1.764
L79,L150,2.093
L80,L150,0.968
L81,L150,1.274
L82,L150,1.016
L91,L150,0.6
L93,L150,0.756
L99,L150,0.41
L102,L150,0.896
L103,L150,66.086
L106,L150,0.934
L113,L150,18.158
L116,L150,19.849
L122,L150,21.121
L128,L150,70.553
L134,L150,20.898
L135,L150,20.898
L138,L150,47.582
L139,L150,47.582
L141,L150,0.968
L145,L150,16.975
L146,L150,15.942
L147,L150,22.387
L150,L150,0
L151,L150,22.05
L153,L150,24.727
L154,L150,24.727
L155,L150,24.815
L156,L150,27.977
L157,L150,27.977
L159,L150,43.438
L162,L150,31.608
L168,L150,6.467
L171,L150,44.903
L173,L150,8.728
L178,L150,47.683
L179,L150,47.683
L185,L150,14.216
L186,L150,17.771
L191,L150,45.015
L203,L150,46.548
L206,L150,19.722
L213,L150,16.287
L222,L150,19.213
L227,L150,13.838
L229,L150,44.754
L231,L150,44.879
L246,L150,29.464
L247,L150,29.571
L249,L150,45.816
L252,L150,45.614
L262,L150,24.781
L271,L150,60.557
L273,L150,61.314
L274,L150,60.326
L292,L150,37.171
L299,L150,50.073
L309,L150,19.697
L310,L150,19.154
L313,L150,36.799
L315,L150,1.046
L321,L150,1.191
L323,L150,19.329
L328,L150,19.486
L333,L150,18.197
L334,L150,17.926
L336,L150,0.766
L338,L150,0.376
L349,L150,0.453
L355,L150,2.945
L361,L150,10.014
L365,L150,11.452
L370,L150,45.523
L371,L150,45.523
L375,L150,45.9
L382,L150,0.968
L385,L150,45.015
L387,L150,60.632
L392,L150,3.466
L393,L150,3.049
L402,L150,4.78
L408,L150,5.649
L411,L150,5.43
L412,L150,5.271
L418,L150,3.726
L423,L150,4.79
L430,L150,85.267
L431,L150,62.764
L437,L150,29.271
L444,L150,55.543
L445,L150,56.928
L469,L150,61.965
L483,L150,83.312
L493,L150,64.641
L495,L150,56.351
L496,L150,47.967
L511,L150,60.127
L527,L150,2.762
L529,L150,5.551
L530,L150,5.271
L540,L150,57.972
L543,L150,55.369
L554,L150,5.271
L556,L150,71.191
L560,L150,94.923
L0,L151,23.341
L7,L151,6.08
L18,L151,43.547
L26,L151,42.975
L33,L151,29.065
L36,L151,31.663
L38,L151,29.827
L57,L151,24.945
L62,L151,28.368
L63,L151,25.251
L70,L151,2.488
L75,L151,23.665
L76,L151,23.665
L77,L151,24.094
L78,L151,27.903
L79,L151,25.077
L80,L151,23.665
L81,L151,24.258
L82,L151,24
L91,L151,23.477
L93,L151,23.633
L99,L151,23.27
L102,L151,23.008
L103,L151,50.665
L106,L151,22.888
L113,L151,4.15
L116,L151,3.514
L122,L151,3.016
L128,L151,55.132
L134,L151,3.789
L135,L151,3.789
L138,L151,32.161
L139,L151,32.161
L141,L151,23.665
L145,L151,6.31
L146,L151,6.576
L147,L151,5.398
L150,L151,22.86
L151,L151,0
L153,L151,21.981
L154,L151,21.981
L155,L151,21.908
L156,L151,18.723
L157,L151,18.723
L159,L151,24.66
L162,L151,16.872
L168,L151,16.5
L171,L151,27.411
L173,L151,29.843
L178,L151,32.262
L179,L151,32.262
L185,L151,28.592
L186,L151,23.251
L191,L151,27.523
L203,L151,29.056
L206,L151,24.559
L213,L151,39.852
L222,L151,18.413
L227,L151,34.018
L229,L151,27.262
L231,L151,26.918
L246,L151,39.177
L247,L151,39.371
L249,L151,28.324
L252,L151,28.122
L262,L151,31.928
L271,L151,45.136
L273,L151,45.893
L274,L151,44.905
L292,L151,31.949
L299,L151,34.652
L309,L151,4.892
L310,L151,5.508
L313,L151,32.185
L315,L151,23.911
L321,L151,23.804
L323,L151,3.187
L328,L151,2.712
L333,L151,4.465
L334,L151,4.382
L336,L151,22.878
L338,L151,23.264
L349,L151,23.038
L355,L151,26.766
L361,L151,12.299
L365,L151,13.497
L370,L151,28.031
L371,L151,28.031
L375,L151,28.408
L382,L151,23.665
L385,L151,27.523
L387,L151,45.211
L392,L151,19.459
L393,L151,23.093
L402,L151,18.101
L408,L151,18.159
L411,L151,18.189
L412,L151,18.347
L418,L151,21.853
L423,L151,22.917
L430,L151,67.261
L431,L151,53.225
L437,L151,35.655
L444,L151,63.61
L445,L151,66.145
L469,L151,52.426
L483,L151,67.891
L493,L151,68.805
L495,L151,46.812
L496,L151,37.162
L511,L151,50.588
L527,L151,22.806
L529,L151,18.407
L530,L151,18.347
L540,L151,48.433
L543,L151,45.83
L554,L151,18.347
L556,L151,61.652
L560,L151,79.502
L0,L153,25.05
L7,L153,22.072
L18,L153,48.227
L26,L153,65.52
L33,L153,8.146
L36,L153,10.144
L38,L153,52.372
L57,L153,14.574
L62,L153,8.392
L63,L153,10.69
L70,L153,19.191
L75,L153,25.374
L76,L153,25.374
L77,L153,25.803
L78,L153,29.612
L79,L153,26.786
L80,L153,25.374
L81,L153,25.967
L82,L153,25.709
L91,L153,25.186
L93,L153,25.342
L99,L153,24.979
L102,L153,24.717
L103,L153,73.21
L106,L153,24.597
L113,L153,18.558
L116,L153,19.521
L122,L153,20.793
L128,L153,77.677
L134,L153,20.57
L135,L153,20.57
L138,L153,54.706
L139,L153,54.706
L141,L153,25.374
L145,L153,20.718
L146,L153,20.984
L147,L153,21.405
L150,L153,24.569
L151,L153,21.722
L153,L153,0
L154,L153,0
L155,L153,0.088
L156,L153,3.25
L157,L153,3.25
L159,L153,3.741
L162,L153,5.108
L168,L153,20.591
L171,L153,15.571
L173,L153,25.34
L178,L153,54.807
L179,L153,54.807
L185,L153,14.971
L186,L153,11.196
L191,L153,10.45
L203,L153,11.983
L206,L153,10.759
L213,L153,41.561
L222,L153,5.731
L227,L153,35.887
L229,L153,10.189
L231,L153,9.43
L246,L153,16.363
L247,L153,16.557
L249,L153,10.691
L252,L153,10.499
L262,L153,18.128
L271,L153,67.681
L273,L153,68.438
L274,L153,67.45
L292,L153,9.743
L299,L153,57.197
L309,L153,20.884
L310,L153,21.5
L313,L153,9.371
L315,L153,25.62
L321,L153,25.513
L323,L153,19.001
L328,L153,19.158
L333,L153,18.873
L334,L153,18.79
L336,L153,24.587
L338,L153,24.973
L349,L153,24.747
L355,L153,28.475
L361,L153,18.136
L365,L153,15.647
L370,L153,10.408
L371,L153,10.408
L375,L153,10.785
L382,L153,25.374
L385,L153,10.45
L387,L153,67.756
L392,L153,20.195
L393,L153,20.55
L402,L153,20.346
L408,L153,17.515
L411,L153,17.545
L412,L153,17.703
L418,L153,20.612
L423,L153,20.367
L430,L153,84.264
L431,L153,70.006
L437,L153,52.095
L444,L153,78.367
L445,L153,79.752
L469,L153,69.207
L483,L153,83.898
L493,L153,85.808
L495,L153,63.593
L496,L153,53.943
L511,L153,67.369
L527,L153,20.816
L529,L153,17.763
L530,L153,17.703
L540,L153,65.214
L543,L153,62.611
L554,L153,17.703
L556,L153,78.655
L560,L153,95.509
L0,L154,25.05
L7,L154,22.072
L18,L154,48.227
L26,L154,65.52
L33,L154,8.146
L36,L154,10.144
L38,L154,52.372
L57,L154,14.574
L62,L154,8.392
L63,L154,10.69
L70,L154,19.191
L75,L154,25.374
L76,L154,25.374
L77,L154,25.803
L78,L154,29.612
L79,L154,26.786
L80,L154,25.374
L81,L154,25.967
L82,L154,25.709
L91,L154,25.186
L93,L154,25.342
L99,L154,24.979
L102,L154,24.717
L103,L154,73.21
L106,L154,24.597
L113,L154,18.558
L116,L154,19.521
L122,L154,20.793
L128,L154,77.677
L134,L154,20.57
L135,L154,20.57
L138,L154,54.706
L139,L154,54.706
L141,L154,25.374
L145,L154,20.718
L146,L154,20.984
L147,L154,21.405
L150,L154,24.569
L151,L154,21.722
L153,L154,0
L154,L154,0
L155,L154,0.088
L156,L154,3.25
L157,L154,3.25
L159,L154,3.741
L162,L154,5.108
L168,L154,20.591
L171,L154,15.571
L173,L154,25.34
L178,L154,54.807
L179,L154,54.807
L185,L154,14.971
L186,L154,11.196
L191,L154,10.45
L203,L154,11.983
L206,L154,10.759
L213,L154,41.561
L222,L154,5.731
L227,L154,35.887
L229,L154,10.189
L231,L154,9.43
L246,L154,16.363
L247,L154,16.557
L249,L154,10.691
L252,L154,10.499
L262,L154,18.128
L271,L154,67.681
L273,L154,68.438
L274,L154,67.45
